									
1	вот	вот	PART	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:45.800#00:08:46.071
2	расскажи	рассказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@mdm1990f-words#@mdm1990f#00:08:46.071#00:08:46.342
3	эм	эм	INTJ	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:46.342#00:08:46.613
4	/	/	PUNCT	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:46.613#00:08:46.884
5	соответственно	соответственно	ADV	_	Degree=Pos	_	_	_	@mdm1990f-words#@mdm1990f#00:08:46.884#00:08:47.155
6	из	из	ADP	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:47.155#00:08:47.426
7	тех	тот	DET	_	Case=Gen|Number=Plur	_	_	_	@mdm1990f-words#@mdm1990f#00:08:47.426#00:08:47.697
8	процессов	процесс	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@mdm1990f-words#@mdm1990f#00:08:47.697#00:08:47.968
9	которые	который	PRON	_	Case=Acc	_	_	_	@mdm1990f-words#@mdm1990f#00:08:47.968#00:08:48.239
10	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@mdm1990f-words#@mdm1990f#00:08:48.239#00:08:48.510
11	не	не	PART	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:48.510#00:08:48.781
12	делегировал	делегировать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mdm1990f-words#@mdm1990f#00:08:48.781#00:08:49.052
13	/	/	PUNCT	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:49.052#00:08:49.323
14	съёмка	съёмка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mdm1990f-words#@mdm1990f#00:08:49.323#00:08:49.594
15	/	/	PUNCT	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:49.594#00:08:49.865
16	сам	сам	PRON	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mdm1990f-words#@mdm1990f#00:08:49.865#00:08:50.136
17	/	/	PUNCT	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:50.136#00:08:50.407
18	посты	пост	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@mdm1990f-words#@mdm1990f#00:08:50.407#00:08:50.678
19	пишешь	писать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mdm1990f-words#@mdm1990f#00:08:50.678#00:08:50.949
20	сам	сам	PRON	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@mdm1990f-words#@mdm1990f#00:08:50.949#00:08:51.220
21	/	/	PUNCT	_	_	_	_	_	@mdm1990f-words#@mdm1990f#00:08:51.220#00:08:51.491
