									
1	Итак	итак	ADV	_	_	_	_	_	@vvp1934m-words#@vvp1934m#634.21#634.486
2	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#634.486#634.762
3	поговорим	поговорить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#634.762#635.038
4	о	о	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#635.038#635.314
5	языке	язык	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#635.314#635.59
6	значит	значить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#635.62#635.985
7	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#635.985#636.35
8	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@vvp1934m-words#@vvp1934m#636.35#636.715
9	утверждаете	утверждать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#636.715#637.08
10	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#637.08#637.445
11	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@vvp1934m-words#@vvp1934m#637.445#637.81
12	вас	вы	PRON	_	Case=Acc|Number=Plur|Person=2	_	_	_	@vvp1934m-words#@vvp1934m#637.81#638.175
13	цитирую	цитировать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#638.175#638.54
14	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#638.54#638.905
15	что	что	SCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#638.905#639.27
16	самые	самый	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@vvp1934m-words#@vvp1934m#639.27#639.635
17	сложные	сложный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@vvp1934m-words#@vvp1934m#639.635#640.0
18	после	после	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#640.0#640.365
19	нашей	наш	DET	_	Case=Gen|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#640.365#640.73
20	вселенной	вселенная	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#640.73#641.095
21	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#641.095#641.46
22	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#641.46#641.825
23	человеческий	человеческий	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#641.825#642.19
24	мозг	мозг	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#642.19#642.555
25	и	и	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#642.555#642.92
26	язык	язык	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#642.92#643.3
27	#цыкает#	#цыкает#	Х	_	_	_	_	_	@vvp1934m-words#@vvp1934m#643.6#643.863
28	про	про	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#643.863#644.126
29	мозг	мозг	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#644.126#644.389
30	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@vvp1934m-words#@vvp1934m#644.389#644.652
31	уже	уже	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#644.652#644.915
32	как-то	как-то	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#644.915#645.178
33	поговорили	поговорить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#645.178#645.441
34	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#645.441#645.704
35	хотя	хотя	SCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#645.704#645.967
36	вернемся	вернуться	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Mid	_	_	_	@vvp1934m-words#@vvp1934m#645.967#646.23
37	к	к	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#646.23#646.493
38	нему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	_	_	_	@vvp1934m-words#@vvp1934m#646.493#646.756
39	еще	еще	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#646.756#647.019
40	раз…	раз	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#647.019#647.282
41	не	не	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#647.282#647.545
42	раз	раз	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#647.545#647.808
43	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#647.808#648.071
44	или	или	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#648.071#648.334
45	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@vvp1934m-words#@vvp1934m#648.334#648.597
46	нас	мы	PRON	_	Case=Acc|Number=Plur|Person=1	_	_	_	@vvp1934m-words#@vvp1934m#648.597#648.86
47	вернет	вернуть	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#648.86#649.123
48	к	к	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#649.123#649.386
49	себе	себя	PRON	_	Case=Dat	_	_	_	@vvp1934m-words#@vvp1934m#649.386#649.649
50	/	/	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#649.649#649.912
51	уж	уж	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#649.912#650.175
52	тут	тут	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#650.175#650.438
53	не	не	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#650.438#650.701
54	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#650.701#650.964
55	как	как	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#650.964#651.227
56	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@vvp1934m-words#@vvp1934m#651.227#651.49
57	в	в	ADP	_	_	_	_	_	@vvp1934m-words#@vvp1934m#652.32#652.653
58	чем	что	PRON	_	Case=Loc	_	_	_	@vvp1934m-words#@vvp1934m#652.653#652.986
59	такая	такой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#652.986#653.319
60	уж	уж	ADV	_	Degree=Pos	_	_	_	@vvp1934m-words#@vvp1934m#653.319#653.652
61	сложность	сложность	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@vvp1934m-words#@vvp1934m#653.652#653.985
62	языка	языка	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#653.985#654.32
63	?	?	PUNCT	_	_	_	_	_	@vvp1934m-words#@vvp1934m#653.985#654.32
64	конечно	конечно	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#658.84#659.31
65	да	да	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#749.636#750.021
66	да	да	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#751.439#751.779
67	ну	ну	PART	_	_	_	_	_	@vvp1934m-words#@vvp1934m#770.538#770.933
68	аа	аa	INTJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#778.834#779.177
69	и	и	CCONJ	_	_	_	_	_	@vvp1934m-words#@vvp1934m#779.177#779.52
